landuse;unit;geo\time;2016 ;2013 
L0008;KM2;DEA24;76 ;76
L0008;KM2;DEA26;934 ;934
L0008;KM2;DEA27;700 ;700
L0008;KM2;DEA28;1244 ;1244
L0008;KM2;DEA29;626 ;626
L0008;KM2;DEA2A;910 ;910
L0008;KM2;DEA2B;433 ;433
L0008;KM2;DEA2C;1144 ;1144
L0008;KM2;DEA2D;702 ;702
L0008;KM2;DEA3;6903 ;6904
L0008;KM2;DEA31;100 ;100
L0008;KM2;DEA32;105 ;105
L0008;KM2;DEA33;302 ;302
L0008;KM2;DEA34;1419 ;1419
L0008;KM2;DEA35;1111 ;1111
L0008;KM2;DEA36;753 ;753
L0008;KM2;DEA37;1795 ;1795
L0008;KM2;DEA38;1318 ;1318
L0008;KM2;DEA4;6499 ;6499
L0008;KM2;DEA41;259 ;259
L0008;KM2;DEA42;968 ;968
L0008;KM2;DEA43;450 ;450
L0008;KM2;DEA44;1200 ;1200
L0008;KM2;DEA45;1244 ;1244
L0008;KM2;DEA46;1139 ;1139
L0008;KM2;DEA47;1239 ;1239
L0008;KM2;DEA5;7975 ;7975
L0008;KM2;DEA51;145 ;145
L0008;KM2;DEA52;280 ;280
L0008;KM2;DEA53;159 ;159
L0008;KM2;DEA54;226 ;226
L0008;KM2;DEA55;51 ;51
L0008;KM2;DEA56;407 ;407
L0008;KM2;DEA57;1955 ;1955
L0008;KM2;DEA58;1057 ;1057
L0008;KM2;DEA59;704 ;704
L0008;KM2;DEA5A;1131 ;1131
L0008;KM2;DEA5B;1317 ;1317
L0008;KM2;DEA5C;543 ;543
L0008;KM2;DEB;19716 ;19714
L0008;KM2;DEB1;8019 ;8018
L0008;KM2;DEB11;100 ;100
L0008;KM2;DEB12;780 ;780
L0008;KM2;DEB13;642 ;642
L0008;KM2;DEB14;864 ;864
L0008;KM2;DEB15;776 ;776
L0008;KM2;DEB16;:;682
L0008;KM2;DEB17;807 ;807
L0008;KM2;DEB18;619 ;619
L0008;KM2;DEB19;:;987
L0008;KM2;DEB1A;775 ;775
L0008;KM2;DEB1B;986 ;986
L0008;KM2;DEB1C;710;:
L0008;KM2;DEB1D;960;:
L0008;KM2;DEB2;4902 ;4903
L0008;KM2;DEB21;114 ;114
L0008;KM2;DEB22;1158 ;1158
L0008;KM2;DEB23;1626 ;1626
L0008;KM2;DEB24;911 ;911
L0008;KM2;DEB25;1093 ;1093
L0008;KM2;DEB3;6795 ;6794
L0008;KM2;DEB31;43 ;43
L0008;KM2;DEB32;140 ;140
L0008;KM2;DEB33;83 ;83
L0008;KM2;DEB34;75 ;75
L0008;KM2;DEB35;95 ;95
L0008;KM2;DEB36;117 ;117
L0008;KM2;DEB37;61 ;61
L0008;KM2;DEB38;38 ;38
L0008;KM2;DEB39;105 ;105
L0008;KM2;DEB3A;71 ;71
L0008;KM2;DEB3B;584 ;584
L0008;KM2;DEB3C;595 ;595
L0008;KM2;DEB3D;645 ;645
L0008;KM2;DEB3E;450 ;450
L0008;KM2;DEB3F;640 ;640
L0008;KM2;DEB3G;574 ;574
L0008;KM2;DEB3H;640 ;640
L0008;KM2;DEB3I;294 ;294
L0008;KM2;DEB3J;591 ;591
L0008;KM2;DEB3K;954 ;954
L0008;KM2;DEC;2565 ;2565
L0008;KM2;DEC0;2565 ;2565
L0008;KM2;DEC01;411 ;411
L0008;KM2;DEC02;554 ;554
L0008;KM2;DEC03;250 ;250
L0008;KM2;DEC04;458 ;458
L0008;KM2;DEC05;418 ;418
