ANO;GEO_COD;GEO_COD_DSG;NIVEL;NIVEL_DSG;N_ALOJAMENTOS;N_ALOJAMENTOS_FAMILIARES;N_ALOJAMENTOS_FAM_CLASSICOS;N_ALOJAMENTOS_FAM_N_CLASSICOS;N_ALOJAMENTOS_COLECTIVOS;N_CLASSICOS_RES_HABITUAL;N_ALOJAMENTOS_RES_HABITUAL;N_ALOJAMENTOS_VAGOS
2011;'110603003; ;7;Secção;299;299;299;0;0;226;226;60
2011;'110603004; ;7;Secção;375;375;375;0;0;292;292;32
2011;'110603005; ;7;Secção;299;298;298;0;1;232;232;34
2011;'110603006; ;7;Secção;425;425;425;0;0;288;288;62
2011;'110603007; ;7;Secção;258;258;258;0;0;172;172;30
2011;'110603008; ;7;Secção;422;422;422;0;0;400;400;12
2011;'110603009; ;7;Secção;345;344;344;0;1;240;240;44
2011;'110603010; ;7;Secção;400;400;400;0;0;267;267;86
2011;'110603011; ;7;Secção;300;300;300;0;0;216;216;46
2011;'110603012; ;7;Secção;375;374;373;1;1;265;266;41
2011;'110603013; ;7;Secção;223;222;222;0;1;174;174;11
2011;'110603014; ;7;Secção;318;318;318;0;0;221;221;49
2011;'110603015; ;7;Secção;334;334;334;0;0;255;255;39
2011;'110603016; ;7;Secção;216;216;216;0;0;166;166;15
2011;'110603017; ;7;Secção;289;289;289;0;0;200;200;64
2011;'110603018; ;7;Secção;347;345;345;0;2;243;243;66
2011;'110603019; ;7;Secção;340;340;340;0;0;251;251;41
2011;'110604001; ;7;Secção;454;454;454;0;0;378;378;35
2011;'110604002; ;7;Secção;509;507;507;0;2;383;383;79
2011;'110604003; ;7;Secção;252;251;251;0;1;201;201;27
2011;'110604004; ;7;Secção;336;333;333;0;3;238;238;69
2011;'110604005; ;7;Secção;223;221;221;0;2;173;173;32
2011;'110604006; ;7;Secção;272;272;272;0;0;222;222;24
2011;'110604007; ;7;Secção;372;371;371;0;1;290;290;51
2011;'110604008; ;7;Secção;386;386;386;0;0;276;276;38
2011;'110604009; ;7;Secção;145;145;145;0;0;96;96;44
2011;'110604010; ;7;Secção;314;312;312;0;2;247;247;17
2011;'110604011; ;7;Secção;312;312;312;0;0;252;252;26
2011;'110604012; ;7;Secção;282;282;282;0;0;191;191;63
2011;'110604013; ;7;Secção;329;328;328;0;1;253;253;50
2011;'110604014; ;7;Secção;273;273;273;0;0;224;224;29
2011;'110604015; ;7;Secção;362;360;360;0;2;271;271;33
2011;'110604016; ;7;Secção;242;242;242;0;0;197;197;35
2011;'110604017; ;7;Secção;332;332;332;0;0;224;224;56
2011;'110605001; ;7;Secção;255;255;255;0;0;215;215;30
2011;'110605002; ;7;Secção;132;132;132;0;0;100;100;22
2011;'110605003; ;7;Secção;47;47;47;0;0;41;41;4
2011;'110605004; ;7;Secção;225;225;224;1;0;167;168;48
2011;'110605005; ;7;Secção;383;383;383;0;0;324;324;45
2011;'110605006; ;7;Secção;262;262;262;0;0;217;217;26
2011;'110605007; ;7;Secção;255;254;254;0;1;215;215;15
2011;'110605008; ;7;Secção;311;310;310;0;1;273;273;23
2011;'110605009; ;7;Secção;98;98;98;0;0;78;78;13
2011;'110605010; ;7;Secção;282;280;280;0;2;213;213;44
2011;'110605011; ;7;Secção;244;244;244;0;0;223;223;12
2011;'110605012; ;7;Secção;355;355;355;0;0;276;276;50
2011;'110605013; ;7;Secção;270;270;270;0;0;178;178;67
2011;'110605014; ;7;Secção;308;308;308;0;0;206;206;14
2011;'110605015; ;7;Secção;424;424;420;4;0;272;276;123
2011;'110605016; ;7;Secção;380;380;380;0;0;283;283;59
2011;'110605017; ;7;Secção;356;356;356;0;0;254;254;57
2011;'110605018; ;7;Secção;303;303;303;0;0;230;230;53
